Player ID,Player,Pos,Squad,SCA90,GCA90
65154df0,Rodrigo Riquelme,DF,es Atlético Madrid,4.84,0.4
335fa267,Sergi Roberto,"MF,DF",es Barcelona,1.61,0.0
6434f10d,Rodri,MF,eng Manchester City,6.48,0.93
8f5e92a6,Rodrygo,FW,es Real Madrid,4.78,0.6
3ead85f9,Alessio Romagnoli,DF,it Lazio,0.67,0.17
4b511457,Oriol Romeu,MF,es Barcelona,1.15,0.0
e58cbfd5,Nicolò Rovella,MF,it Lazio,1.32,0.0
4b3e1a38,Amir Rrahmani,DF,it Napoli,0.19,0.0
18b896d6,Antonio Rüdiger,DF,es Real Madrid,1.13,0.16
0b5a292a,Mário Rui,DF,it Napoli,1.81,0.0
c0c7ff58,Fabián Ruiz Peña,MF,fr Paris S-G,4.1,0.59
009a4f60,Julian Ryerson,DF,de Dortmund,1.2,0.0
e280527c,Marcel Sabitzer,MF,de Dortmund,2.51,0.68
686cbe7d,Umar Sadiq,FW,es Real Sociedad,1.76,0.0
3ec9f005,Ismael Saibari,MF,nl PSV Eindhoven,2.55,0.0
bc7dc64d,Bukayo Saka,FW,eng Arsenal,5.57,1.29
972aeb2a,William Saliba,DF,eng Arsenal,0.15,0.0
2c0f8e9e,Alexis Sánchez,FW,it Inter,2.86,0.0
dbf053da,Jadon Sancho,FW,de Dortmund,4.03,0.0
2b114be3,Leroy Sané,FW,de Bayern Munich,4.59,0.44
24051310,Zaidu Sanusi,DF,pt Porto,1.47,0.29
1a4b9094,Bouna Sarr,DF,de Bayern Munich,0.0,0.0
f6ac68c1,Stefan Savić,DF,es Atlético Madrid,0.62,0.31
8f056768,Xaver Schlager,MF,de RB Leipzig,3.03,0.72
34e12499,Nico Schlotterbeck,DF,de Dortmund,1.03,0.17
2cfae697,Jerdy Schouten,"MF,DF",nl PSV Eindhoven,2.88,0.17
28c6e925,Nicolas Seiwald,MF,de RB Leipzig,1.32,0.0
3260690c,Benjamin Šeško,FW,de RB Leipzig,2.67,0.22
3effaa34,André Silva,FW,es Real Sociedad,2.93,0.0
3eb22ec9,Bernardo Silva,"FW,MF",eng Manchester City,4.44,0.56
fcb27134,Mohamed Simakan,DF,de RB Leipzig,1.51,0.15
343c0d52,Giovanni Simeone,FW,it Napoli,3.71,0.0
da4d670f,Xavi Simons,"MF,FW",de RB Leipzig,6.49,0.3
b35a7399,Leo Skiri Østigård,DF,it Napoli,1.44,0.0
30f5ffa9,Milan Škriniar,DF,fr Paris S-G,1.17,0.0
17695062,Emile Smith Rowe,MF,eng Arsenal,12.27,2.05
839c14e1,Cédric Soares,DF,eng Arsenal,2.95,1.48
fed17f5a,Carlos Soler,"MF,FW",fr Paris S-G,0.0,0.0
420c18a1,Yann Sommer,GK,it Inter,0.0,0.0
21166ff4,Çağlar Söyüncü,DF,es Atlético Madrid,1.53,0.0
d0b8e745,Orri Steinn Óskarsson,FW,dk FC Copenhagen,0.62,0.62
5eecec3d,John Stones,"DF,MF",eng Manchester City,1.48,0.74
e33c06cf,Niklas Süle,DF,de Dortmund,0.96,0.0
6cdd9d3d,Mahamadou Susoho,MF,eng Manchester City,0.0,0.0
c8829a58,Christian Sørensen,DF,dk FC Copenhagen,6.0,2.0
4c2a5d34,Mehdi Taremi,FW,pt Porto,2.64,0.88
4f255115,Aurélien Tchouaméni,"MF,DF",es Real Madrid,1.77,0.0
829aa60c,Mathys Tel,"FW,MF",de Bayern Munich,6.25,0.62
6f51e382,Marc-André ter Stegen,GK,es Barcelona,0.4,0.0
82e9b1bb,Jordan Teze,DF,nl PSV Eindhoven,2.14,0.0
6f8cd6d0,Marcus Thuram,FW,it Inter,5.31,0.25
fce2302c,Kieran Tierney,DF,es Real Sociedad,4.09,0.0
6e44569a,Guus Til,MF,nl PSV Eindhoven,1.29,0.0
a5420709,Malik Tillman,MF,nl PSV Eindhoven,3.69,0.87
b3af9be1,Takehiro Tomiyasu,DF,eng Arsenal,2.67,0.59
9e1035f8,Ferrán Torres,FW,es Barcelona,3.77,0.81
a4b1028a,Hamari Traoré,DF,es Real Sociedad,1.53,0.17
38ceb24a,Leandro Trossard,FW,eng Arsenal,2.37,0.24
068f4dec,Beñat Turrientes,MF,es Real Sociedad,4.22,0.47
c9817014,Manuel Ugarte Ribeiro,MF,fr Paris S-G,0.95,0.0
7d3e7da6,Sven Ulreich,GK,de Bayern Munich,0.33,0.0
d248cd8f,Dayot Upamecano,DF,de Bayern Munich,0.54,0.0
0959c2a2,Federico Valverde,MF,es Real Madrid,3.62,0.3
9ffb2ce6,Alan Varela,MF,pt Porto,1.75,0.15
08990838,Denis Vavro,DF,dk FC Copenhagen,0.38,0.0
fd51b456,Lucas Vázquez,DF,es Real Madrid,5.75,0.68
