Player ID,Player,Pos,Squad,SCA90,GCA90
862fa9fb,Davit Khocholava,DF,dk FC Copenhagen,0.21,0.0
49296448,Joshua Kimmich,MF,de Bayern Munich,3.67,0.44
aef6e670,Presnel Kimpembe,DF,fr Paris S-G,0.61,0.0
82c615f8,Leon King,DF,sct Rangers,0.24,0.0
8b8a56ce,Simon Kjær,DF,it Milan,0.89,0.0
2b0852db,Maurits Kjærgaard,MF,at RB Salzburg,3.27,0.0
15fd5593,Davy Klaassen,MF,nl Ajax,2.13,0.43
c2a30c01,Jan Kliment,FW,cz Viktoria Plzeň,0.0,0.0
ca8033cb,Lukas Klostermann,DF,de RB Leipzig,0.0,0.0
19a967ab,Ansgar Knauff,"DF,FW",de Eint Frankfurt,2.15,0.31
cd59b9df,Gregor Kobel,GK,de Dortmund,0.0,0.0
ff74841d,Philipp Köhn,GK,at RB Salzburg,0.0,0.0
6747869d,Sekou Koita,FW,at RB Salzburg,9.0,0.0
55126f3b,Koke,MF,es Atlético Madrid,1.91,0.0
3935e52e,Sead Kolašinac,DF,fr Marseille,1.19,0.0
c0b3669f,Randal Kolo Muani,FW,de Eint Frankfurt,1.4,0.35
5ed9b537,Ibrahima Konaté,DF,eng Liverpool,0.35,0.0
cce181df,Geoffrey Kondogbia,MF,es Atlético Madrid,3.2,0.0
aee634bf,Yukhym Konoplia,DF,ua Shakhtar,1.51,0.43
6f639ec7,Jan Kopic,"FW,MF",cz Viktoria Plzeň,2.22,0.0
1f3afdcb,Odilon Kossonou,DF,de Leverkusen,1.68,0.0
b1cd37e6,Filip Kostić,"DF,FW",it Juventus,4.84,0.42
da974c7b,Kalidou Koulibaly,DF,eng Chelsea,0.79,0.0
4d1666ff,Jules Koundé,DF,es Barcelona,1.83,0.37
79c0821a,Mateo Kovačić,MF,eng Chelsea,3.04,0.14
9606f0b2,Adam Kronus,FW,cz Viktoria Plzeň,30.0,0.0
6ce1f46f,Toni Kroos,MF,es Real Madrid,3.53,0.43
817c6964,Rade Krunić,"MF,FW",it Milan,0.77,0.0
47420f02,Dmytro Kryskiv,MF,ua Shakhtar,9.0,0.0
292a652a,Serhiy Kryvtsov,DF,ua Shakhtar,0.0,0.0
df3cda47,Dejan Kulusevski,"MF,DF",eng Tottenham,4.5,0.0
dea88efd,Khvicha Kvaratskhelia,FW,it Napoli,5.72,1.04
c1b7847c,Konrad Laimer,"MF,FW",de RB Leipzig,1.72,0.0
abe66106,Érik Lamela,"FW,MF",es Sevilla,5.85,0.32
8e034340,Noa Lang,FW,be Club Brugge,3.09,0.0
119b9a8e,Aymeric Laporte,DF,eng Manchester City,1.23,0.62
e7af9060,Cyle Larin,"FW,MF",be Club Brugge,0.0,0.0
8b929ec2,Rasmus Lauritsen,DF,hr Dinamo Zagreb,0.0,0.0
da9018ca,Neta Lavi,MF,il Maccabi Haifa,2.69,0.38
20730eae,Rafael Leão,"FW,MF",it Milan,3.87,0.69
4dbd0916,Thomas Lemar,MF,es Atlético Madrid,4.33,0.0
4f28a6ff,Clément Lenglet,DF,eng Tottenham,0.88,0.0
bbd86530,Christopher Lenz,DF,de Eint Frankfurt,2.4,0.4
1b82f8df,Lukas Lerager,MF,dk FC Copenhagen,1.2,0.0
8d78e732,Robert Lewandowski,FW,es Barcelona,2.86,0.0
b57e066e,Rico Lewis,DF,eng Manchester City,1.53,0.0
d6e53a3a,Matthijs de Ligt,DF,de Bayern Munich,0.73,0.0
37dc1a48,Jesper Lindstrøm,"MF,FW",de Eint Frankfurt,3.01,0.18
58f077c0,Dominik Livaković,GK,hr Dinamo Zagreb,0.17,0.0
99a8ddc9,Robert Ljubicic,"FW,DF",hr Dinamo Zagreb,2.0,0.17
02c15616,Marcos Llorente,"MF,FW",es Atlético Madrid,2.55,0.42
8f62b6ee,Hugo Lloris,GK,eng Tottenham,0.0,0.0
e9fda01d,Danny Loader,"FW,MF",pt Porto,3.46,0.0
