Player ID,Player,Pos,Squad,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Sh/90,SoT/90,SoT%,G/Sh,G/SoT,SCA90,GCA90,GA90,Save%,SoTA
b35a7399,Leo Skiri Østigård,DF,it Napoli,0.46,0.0,0.46,0.46,0.46,0.46,0.46,100.0,1.0,1.0,1.37,0.0,,,
30f5ffa9,Milan Škriniar,DF,it Inter,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,,0.84,0.0,,,
fed17f5a,Carlos Soler,MF,fr Paris S-G,0.58,0.0,0.58,0.58,0.58,1.16,0.58,50.0,0.5,1.0,2.32,0.0,,,
420c18a1,Yann Sommer,GK,de Bayern Munich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.25,0.0,1.0,76.5,17.0
690d1049,Marko Stamenic,MF,dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,,0.67,0.0,,,
7ed08d5c,Josip Stanišić,DF,de Bayern Munich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.32,0.26,,,
d0b8e745,Orri Steinn Óskarsson,"MF,FW",dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.09,0.0,,,
5eecec3d,John Stones,"MF,DF",eng Manchester City,0.13,0.13,0.26,0.13,0.26,0.39,0.13,33.3,0.33,1.0,1.45,0.13,,,
e33c06cf,Niklas Süle,DF,de Dortmund,0.0,0.0,0.0,0.0,0.0,0.4,0.13,33.3,0.0,0.0,1.07,0.0,,,
934e1968,Dominik Szoboszlai,FW,de RB Leipzig,0.14,0.28,0.41,0.14,0.41,2.07,0.41,20.0,0.07,0.33,3.45,0.55,,,
c8829a58,Christian Sørensen,"DF,MF",dk FC Copenhagen,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,,7.06,0.0,,,
4c2a5d34,Mehdi Taremi,FW,pt Porto,0.74,0.29,1.03,0.44,0.74,3.24,1.47,45.5,0.14,0.3,3.83,0.29,,,
4f255115,Aurélien Tchouaméni,MF,es Real Madrid,0.0,0.0,0.0,0.0,0.0,1.87,0.42,22.2,0.0,0.0,1.45,0.21,,,
829aa60c,Mathys Tel,FW,de Bayern Munich,0.0,0.0,0.0,0.0,0.0,4.34,0.62,14.3,0.0,0.0,2.47,0.0,,,
6f51e382,Marc-André ter Stegen,GK,es Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.2,0.0,2.0,54.5,22.0
04e531b6,Pablo Torre,"MF,FW",es Barcelona,0.95,0.0,0.95,0.95,0.95,0.95,0.95,100.0,1.0,1.0,0.94,0.0,,,
9e1035f8,Ferrán Torres,"FW,MF",es Barcelona,1.44,0.48,1.91,1.44,1.91,3.35,1.44,42.9,0.43,1.0,4.31,0.96,,,
7d3e7da6,Sven Ulreich,GK,de Bayern Munich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.67,80.0,10.0
d248cd8f,Dayot Upamecano,DF,de Bayern Munich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.88,0.0,,,
b997c3de,Mateus Uribe,MF,pt Porto,0.15,0.0,0.15,0.0,0.0,1.33,0.3,22.2,0.0,0.0,2.8,0.0,,,
c2111b45,Jesús Vallejo,DF,es Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
