goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
1,2,0,28,35.0,12,63.16,10,34.48,8,1,74.31,40,40.4,459,10,13,14,13,0,0,0,9,0,0,0,0,0,38,2,107,6,2,16.67,2,40.0,2,1,7,1,8,3,1,12.5,0,1,0.93,0,0,0,Karim Adeyemi,Borussia Dortmund
0,2,0,13,61.9,18,48.65,4,80.0,1,0,66.67,31,53.45,367,10,8,2,11,0,0,0,5,0,0,0,0,0,35,0,68,4,0,0.0,2,100.0,0,7,0,0,6,1,3,0.0,0,3,0.89,0,0,0,Sébastien Haller,Borussia Dortmund
2,0,0,7,38.89,0,0.0,5,55.56,2,0,70.0,7,35.0,204,0,2,5,8,0,0,0,4,0,0,0,0,0,18,0,56,2,2,50.0,2,50.0,1,0,0,2,9,6,2,22.22,0,0,2.36,0,0,0,Timo Werner,RB Leipzig
0,2,0,24,53.33,3,42.86,7,50.0,12,1,75.78,27,51.92,677,5,7,2,14,0,0,0,11,0,0,0,0,0,90,2,291,7,9,29.03,15,30.61,5,10,7,1,3,0,0,0.0,0,1,0.45,0,0,0,Marius Wolf,Borussia Dortmund
0,0,0,9,56.25,2,40.0,3,50.0,3,0,82.35,11,52.38,189,3,0,2,9,0,0,0,0,0,0,0,0,0,33,0,70,2,1,16.67,0,0.0,0,1,2,0,3,2,1,0.0,0,0,0.22,0,0,0,Fabio Carvalho,RB Leipzig
0,1,0,21,56.76,4,40.0,2,66.67,18,1,78.64,25,53.19,440,1,4,5,12,0,0,0,8,2,0,0,0,0,23,0,173,2,0,0.0,14,51.85,4,6,6,0,0,0,0,0.0,0,0,0.0,0,0,0,Nicolas Seiwald,RB Leipzig
0,0,0,0,0.0,1,100.0,0,0.0,0,0,85.07,1,100.0,360,0,0,0,4,6,4,2,2,1,0,3,0,3,0,0,114,0,0,0.0,17,45.95,0,6,0,0,0,0,0,0.0,0,0,0.0,1,0,0,Péter Gulácsi,RB Leipzig
0,0,0,3,60.0,2,66.67,0,0.0,2,0,80.0,5,62.5,47,1,1,1,5,0,0,0,0,0,0,0,0,0,9,0,32,1,0,0.0,1,16.67,1,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Christopher Lenz,RB Leipzig
0,1,0,1,100.0,0,0.0,0,0.0,1,0,80.38,1,100.0,720,0,0,0,8,10,5,5,6,1,2,4,1,4,4,0,209,1,0,0.0,30,38.46,0,4,0,0,0,0,0,0.0,0,0,0.0,1,1,0,Sven Ulreich,FC Bayern München
0,0,0,0,0.0,0,0.0,0,0.0,0,0,92.86,0,0.0,18,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,El Chadaille Bitshiabu,RB Leipzig
0,0,0,4,50.0,0,0.0,0,0.0,3,0,92.68,4,40.0,101,1,1,1,7,0,0,0,2,0,0,0,0,0,12,0,38,0,0,0.0,1,100.0,1,1,2,0,2,1,0,0.0,0,0,0.08,0,0,0,Eljif Elmas,RB Leipzig
0,0,0,0,0.0,0,0.0,0,0.0,0,0,77.78,0,0.0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0.0,1,100.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Thorgan Hazard,Borussia Dortmund
0,0,0,3,42.86,1,100.0,2,66.67,1,0,0.0,4,50.0,10,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Julien Duranville,Borussia Dortmund
0,1,0,6,40.0,2,50.0,2,40.0,2,0,83.33,8,42.11,109,3,6,0,2,0,0,0,2,0,0,0,0,0,12,0,45,0,0,0.0,0,0.0,1,2,1,0,1,0,0,0.0,0,0,0.24,0,0,0,Sacha Boey,FC Bayern München
0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Lovro Zvonarek,FC Bayern München
0,0,0,0,0.0,0,0.0,0,0.0,0,0,100.0,0,0.0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0,Mateu Morey,Borussia Dortmund
